,Hallmark,Subprocess,Gene Symbol,Spearman,p-value,Experiment,Species
0,Senescence,SASP,PDGFB,0.3154054804986476,0.005515266239906384,Ageing-Skin,Mouse
1,Senescence,SASP,RARRES2,0.2525992475627514,0.027704439197123704,Ageing-Skin,Mouse
2,Senescence,SASP,CCL11,0.2507576643650686,0.02889901755429065,Ageing-Skin,Mouse
3,Senescence,SASP,ALCAM,-0.29766306327321174,0.009016138134951276,Ageing-Skin,Mouse
4,Senescence,SASP,CXCL13,0.2912037789231305,0.010705983079002489,Ageing-Skin,Mouse
5,Senescence,SASP,ANKRD1,0.24116493994728838,0.03584626601141866,Ageing-Skin,Mouse
6,Senescence,SASP,PARK7,0.2979654127534283,0.008943104541659308,Ageing-Skin,Mouse
7,Senescence,SASP,TGFBR2,0.316367501572064,0.005365725402619158,Ageing-Skin,Mouse
8,Senescence,SASP,CEBPA,0.30990821722198275,0.006442557150698195,Ageing-Skin,Mouse
9,Senescence,SASP,CSF3,-0.23673964300957312,0.03949306291630348,Ageing-Skin,Mouse
10,Senescence,SASP,IL27,0.2149292509594052,0.06225003541945578,Ageing-Skin,Mouse
11,Senescence,SASP,BEX3,-0.22343626588004414,0.05235603031517108,Ageing-Skin,Mouse
12,Senescence,SASP,MAPK14,0.20878605924773222,0.07029689569299204,Ageing-Skin,Mouse
13,Senescence,SASP,PGK1,0.2747119890931358,0.016323807684497836,Ageing-Skin,Mouse
14,Senescence,SASP_Secreted,CSF1,0.26128492353988186,0.02261730504281226,Ageing-Skin,Mouse
15,Senescence,SASP_Secreted,CXCL16,0.22438454379526887,0.05133781112408959,Ageing-Skin,Mouse
16,Senescence,SASP_Secreted,IGFBP3,0.2034537138693673,0.07794093542870766,Ageing-Skin,Mouse
17,Senescence,SASP_Secreted,PLAU,0.21373359619673063,0.06375476130480497,Ageing-Skin,Mouse
18,Senescence,SASP_Secreted,VEGFA,0.214613158320997,0.06264500975775836,Ageing-Skin,Mouse
19,Senescence,SASP_Secreted,C3,0.21804894786891255,0.05845905822080041,Ageing-Skin,Mouse
20,Senescence,SASP_Secreted,VEGFC,0.2555677697321504,0.02586673317133315,Ageing-Skin,Mouse
21,Senescence,SASP_Secreted,CCL2,0.20147469908976792,0.08094115244108187,Ageing-Skin,Mouse
22,Senescence,SASP_Secreted,FGF1,0.20715062342292442,0.07257441211830054,Ageing-Skin,Mouse
23,Senescence,SASP_Secreted,FGF2,0.2052403244342834,0.07530921558259746,Ageing-Skin,Mouse
24,Senescence,SASP_Secreted,SERPINE1,0.3049194507984094,0.007400270777895695,Ageing-Skin,Mouse
25,Senescence,SASP_Secreted,GDF15,0.2221718953264112,0.053739326015654405,Ageing-Skin,Mouse
26,Senescence,SASP_Secreted,SPX,-0.30750316453844184,0.0068896991394527575,Ageing-Skin,Mouse
27,Senescence,Metabolic adaptations,RRAD,0.26051530668114875,0.023033392110329252,Ageing-Skin,Mouse
28,Senescence,Cell cycle arrest,CCNE1,-0.25904478875464093,0.02384654053591397,Ageing-Skin,Mouse
29,Senescence,Cell cycle arrest,MTOR,0.2545507760259674,0.02648433274840591,Ageing-Skin,Mouse
30,Senescence,Cell cycle arrest,BHLHE40,0.31632627209748904,0.00537205998289917,Ageing-Skin,Mouse
31,Senescence,Cell cycle arrest,CDKN1C,0.33460467249239967,0.0031334421051407995,Ageing-Skin,Mouse
32,Senescence,Nuclear changes,NAMPT,0.32623508915367744,0.0040268596647416,Ageing-Skin,Mouse
33,Senescence,Nuclear changes,HMGA2,-0.2595945150823074,0.02353975004428357,Ageing-Skin,Mouse
34,Senescence,SASP_Transmembrane,AXL,0.23805898619597274,0.03837489140322478,Ageing-Skin,Mouse
35,Senescence,SASP_Transmembrane,IL6ST,0.38337914091460895,0.0006298064716180882,Ageing-Skin,Mouse
36,Senescence,SASP_Transmembrane,FAS,0.21458567200461368,0.06267945106812446,Ageing-Skin,Mouse
37,Senescence,SASP_Transmembrane,CXCR2,-0.23368866189102416,0.042182886047101444,Ageing-Skin,Mouse
38,Senescence,SASP_Transmembrane,EGF,0.22749049754658446,0.04811587368042255,Ageing-Skin,Mouse
39,Senescence,SASP_Transmembrane,TNFRSF1A,0.30857513087739147,0.00668713526442467,Ageing-Skin,Mouse
40,Senescence,SASP_Transmembrane,TNFRSF11B,0.22764167228669277,0.04796340107409173,Ageing-Skin,Mouse
41,Senescence,SASP_Intracellular,TUBGCP2,0.2442159210658374,0.033499432966780866,Ageing-Skin,Mouse
42,Senescence,SASP_Intracellular,PTGES,0.25430339917851746,0.026636432231674265,Ageing-Skin,Mouse
43,Senescence,Cell surface markers,SELP,0.200210328536135,0.08290555602712188,Ageing-Skin,Mouse
44,Senescence,Other,KLF6,0.2010624043440181,0.0815776095097056,Ageing-Skin,Mouse
45,Senescence,Other,AQP1,0.32025681534030437,0.004797069090301673,Ageing-Skin,Mouse
46,Senescence,Other,UBC,0.2089784634624155,0.0700327715900611,Ageing-Skin,Mouse
47,Senescence,Other,ADAMTSL4,0.2486824474781276,0.030296907213394522,Ageing-Skin,Mouse
48,Senescence,Other,C1QTNF1,0.23882860305470582,0.03773488632979868,Ageing-Skin,Mouse
49,Senescence,Other,SUSD6,0.2183925268237041,0.05805328764845791,Ageing-Skin,Mouse
50,Senescence,Other,OSMR,0.2338948092638991,0.0419964801972824,Ageing-Skin,Mouse
51,Senescence,Other,BCL6,0.24292406419582113,0.03447692770581938,Ageing-Skin,Mouse
52,Senescence,Other,DUSP1,0.24539783267032036,0.03262557539824263,Ageing-Skin,Mouse
53,Senescence,Other,EGFL7,0.21297772249618924,0.06472111330604345,Ageing-Skin,Mouse
54,Senescence,Other,NUCB1,0.24420217790764576,0.0335097083224057,Ageing-Skin,Mouse
55,Senescence,Other,CHSY1,-0.3437851021644301,0.002360807029694559,Ageing-Skin,Mouse
56,Senescence,Other,TGFBI,0.20794772659804084,0.07145707953924313,Ageing-Skin,Mouse
57,Senescence,Other,PNRC1,0.22687205542795968,0.04874378469757551,Ageing-Skin,Mouse
58,Senescence,Other,MAFF,0.2523518707153014,0.02786243871558367,Ageing-Skin,Mouse
59,Senescence,Other,SHC1,0.20878605924773222,0.07029689569299204,Ageing-Skin,Mouse
60,Senescence,Other,ZC3H12A,0.21042149507254002,0.06807717669859524,Ageing-Skin,Mouse
61,Senescence,Other,GPR4,0.21429706568258874,0.06304201160381505,Ageing-Skin,Mouse
62,Senescence,Other,RASD1,0.2764298838670936,0.015639388140211163,Ageing-Skin,Mouse
63,Senescence,Other,C11orf96,0.23481560086274048,0.04117218413293127,Ageing-Skin,Mouse
64,Senescence,Other,CFB,0.20936327189178203,0.06950691681507248,Ageing-Skin,Mouse
65,Autophagy,mTOR and upstream pathways,TSC2,0.3763838733950528,0.0008052312032048663,Ageing-Skin,Mouse
66,Autophagy,mTOR and upstream pathways,PRKAG3,0.21586378571643824,0.06109407500045476,Ageing-Skin,Mouse
67,Autophagy,mTOR and upstream pathways,HDAC5,0.2618758793421233,0.022302168239400674,Ageing-Skin,Mouse
68,Autophagy,mTOR and upstream pathways,AKT1S1,0.2206051752925617,0.055494724509652676,Ageing-Skin,Mouse
69,Autophagy,mTOR and upstream pathways,IGF2BP1,-0.2117408382589396,0.06632792387163584,Ageing-Skin,Mouse
70,Autophagy,mTOR and upstream pathways,CASTOR2,0.23815518830331436,0.03829439980671683,Ageing-Skin,Mouse
71,Autophagy,mTOR and upstream pathways,ATP6V1E1,0.21367862356396397,0.06382464552336341,Ageing-Skin,Mouse
72,Autophagy,mTOR and upstream pathways,ATP6V1E1,0.21367862356396397,0.06382464552336341,Ageing-Skin,Mouse
73,Autophagy,mTOR and upstream pathways,ESR1,0.2454390621448953,0.032595440497066294,Ageing-Skin,Mouse
74,Autophagy,mTOR and upstream pathways,GRB10,0.2005401643327349,0.08238949124826493,Ageing-Skin,Mouse
75,Autophagy,mTOR and upstream pathways,LPIN1,0.2715922921836285,0.01763275545989349,Ageing-Skin,Mouse
76,Autophagy,mTOR and upstream pathways,CAB39L,0.20886851819688224,0.07018360178836291,Ageing-Skin,Mouse
77,Autophagy,mTOR and upstream pathways,TFEB,0.22214440901002788,0.05376972639358475,Ageing-Skin,Mouse
78,Autophagy,mTOR and upstream pathways,TFEB,0.22214440901002788,0.05376972639358475,Ageing-Skin,Mouse
79,Autophagy,mTOR and upstream pathways,TFEB,0.22214440901002788,0.05376972639358475,Ageing-Skin,Mouse
80,Autophagy,mTOR and upstream pathways,RPTOR,0.31599643630088914,0.0054229751898859655,Ageing-Skin,Mouse
81,Autophagy,mTOR and upstream pathways,TTI1,0.25856377821793275,0.024117762407496576,Ageing-Skin,Mouse
82,Autophagy,mTOR and upstream pathways,RRAGD,0.20012786958698506,0.08303497229504563,Ageing-Skin,Mouse
83,Autophagy,mTOR and upstream pathways,PRKAA2,0.2992435264652529,0.00864005902096954,Ageing-Skin,Mouse
84,Autophagy,mTOR and upstream pathways,RRAGC,0.3074756782220585,0.006894963319675771,Ageing-Skin,Mouse
85,Autophagy,mTOR and upstream pathways,PRKAG2,0.3513713254862276,0.0018563587249661496,Ageing-Skin,Mouse
86,Autophagy,mTOR and upstream pathways,MTOR,0.2545507760259674,0.02648433274840591,Ageing-Skin,Mouse
87,Autophagy,mTOR and upstream pathways,PIK3R2,0.2681290163193296,0.019190431528554278,Ageing-Skin,Mouse
88,Autophagy,mTOR and upstream pathways,FLCN,0.2535200391615927,0.027122964774277142,Ageing-Skin,Mouse
89,Autophagy,mTOR and upstream pathways,FLCN,0.2535200391615927,0.027122964774277142,Ageing-Skin,Mouse
90,Autophagy,mTOR and upstream pathways,PRR5L,-0.2775843091551932,0.015193477254321833,Ageing-Skin,Mouse
91,Autophagy,mTOR and upstream pathways,FNIP1,0.3383840409951068,0.0027915433112380055,Ageing-Skin,Mouse
92,Autophagy,mTOR and upstream pathways,FNIP1,0.3383840409951068,0.0027915433112380055,Ageing-Skin,Mouse
93,Autophagy,mTOR and upstream pathways,RRAS,0.3173295226454803,0.0052197819674918745,Ageing-Skin,Mouse
94,Autophagy,mTOR and upstream pathways,PIK3R1,0.21248296880128936,0.06536002054982865,Ageing-Skin,Mouse
95,Autophagy,mTOR and upstream pathways,PRKAA1,0.27373622486152777,0.01672391893190344,Ageing-Skin,Mouse
96,Autophagy,mTOR and upstream pathways,ATP6V1E2,-0.2553753655174671,0.025982631621580404,Ageing-Skin,Mouse
97,Autophagy,mTOR and upstream pathways,ATP6V1E2,-0.2553753655174671,0.025982631621580404,Ageing-Skin,Mouse
98,Autophagy,mTOR and upstream pathways,LGALS8,0.21971187001010367,0.05651638036515847,Ageing-Skin,Mouse
99,Autophagy,mTOR and upstream pathways,PRKAG1,0.2360662282581817,0.04007415818958775,Ageing-Skin,Mouse
100,Autophagy,Autophagy core,RAB5B,0.2658201657431304,0.02029310495477567,Ageing-Skin,Mouse
101,Autophagy,Autophagy core,RAB5B,0.2658201657431304,0.02029310495477567,Ageing-Skin,Mouse
102,Autophagy,Autophagy core,CAPNS1,0.2078102950161242,0.07164873171949727,Ageing-Skin,Mouse
103,Autophagy,Autophagy core,ULK2,0.25617246869258353,0.02550532751656637,Ageing-Skin,Mouse
104,Autophagy,Autophagy core,PRKACA,0.2644595930821558,0.020967909106058398,Ageing-Skin,Mouse
105,Autophagy,Autophagy core,CALCOCO2,-0.26532541204823057,0.020536309252846045,Ageing-Skin,Mouse
106,Autophagy,Autophagy core,CALCOCO2,-0.26532541204823057,0.020536309252846045,Ageing-Skin,Mouse
107,Autophagy,Autophagy core,RAB5A,0.2355852177214735,0.040493561227831515,Ageing-Skin,Mouse
108,Autophagy,Autophagy core,RAB5A,0.2355852177214735,0.040493561227831515,Ageing-Skin,Mouse
109,Autophagy,Autophagy core,ATG10,0.2918084778835636,0.010536859821175144,Ageing-Skin,Mouse
110,Autophagy,Autophagy core,STK38,0.20767286343420757,0.07184079622378382,Ageing-Skin,Mouse
