,subprocess,Spearman_rho,p_value,hallmark,Tissue
0,Cytonuclear proteostasis,-0.15853534566742628,0.2522126737318396,Proteostasis,Muscle
1,ER proteostasis,-0.19490228863053663,0.15785991227354038,Proteostasis,Muscle
2,Mitochondrial proteostasis,-0.13699875773774448,0.32322979457061707,Proteostasis,Muscle
3,Nuclear proteostasis,-0.08641460103457729,0.5343888484682602,Proteostasis,Muscle
4,PN regulation,-0.059589669449564384,0.6686311825628513,Proteostasis,Muscle
5,Translation,-0.1192176602299645,0.39054113072075447,Proteostasis,Muscle
6,Extracellular proteostasis,-0.3315178330599238,0.014331946924132439,Proteostasis,Muscle
7,Autophagy-Lysosome Pathway,-0.0899401634714647,0.5177804928531016,Proteostasis,Muscle
8,Ubiquitin Proteasome System,-0.11140010873947503,0.4225725038494783,Proteostasis,Muscle
9,Cytonuclear proteostasis,-0.0037656253445154443,0.9742455684418612,Proteostasis,Skin
10,ER proteostasis,0.034124261789897255,0.7697948091760658,Proteostasis,Skin
11,Mitochondrial proteostasis,0.1625815614073639,0.1605516938542239,Proteostasis,Skin
12,Nuclear proteostasis,0.03975895664847877,0.7331028535700732,Proteostasis,Skin
13,PN regulation,0.24172840943314652,0.035402788788068816,Proteostasis,Skin
14,Translation,0.033505819671272453,0.7738545623720434,Proteostasis,Skin
15,Extracellular proteostasis,-0.052828700088749514,0.6503803662293803,Proteostasis,Skin
16,Autophagy-Lysosome Pathway,0.16772150257104554,0.14755827886160927,Proteostasis,Skin
17,Ubiquitin Proteasome System,0.06522502877762883,0.5756217289843435,Proteostasis,Skin
18,Cytonuclear proteostasis,-0.027356687790086556,0.844326367780595,Proteostasis,Marrow
19,ER proteostasis,-0.0799627554872698,0.5654426394569945,Proteostasis,Marrow
20,Mitochondrial proteostasis,-0.05226123549814854,0.707429453527205,Proteostasis,Marrow
21,Nuclear proteostasis,-0.00471270672014096,0.9730198756126256,Proteostasis,Marrow
22,PN regulation,-0.057663606616358914,0.6787502296702421,Proteostasis,Marrow
23,Translation,-0.017356554018080124,0.9008647404416166,Proteostasis,Marrow
24,Extracellular proteostasis,-0.11184057655358914,0.4207289947218099,Proteostasis,Marrow
25,Autophagy-Lysosome Pathway,-0.08758737855481492,0.5288352445594559,Proteostasis,Marrow
26,Ubiquitin Proteasome System,0.0068966439806940885,0.9605252306477174,Proteostasis,Marrow
27,Cytonuclear proteostasis,-0.2882209339773539,0.031228925636939225,Proteostasis,Spleen
28,ER proteostasis,-0.23366850928652694,0.08304944777789426,Proteostasis,Spleen
29,Mitochondrial proteostasis,-0.21127041048399597,0.11804191606596807,Proteostasis,Spleen
30,Nuclear proteostasis,-0.2358670956720514,0.08011097949716288,Proteostasis,Spleen
31,PN regulation,-0.22398098802530955,0.09702027624013,Proteostasis,Spleen
32,Translation,-0.21656075897416432,0.10890606966221711,Proteostasis,Spleen
33,Extracellular proteostasis,0.030848915221890795,0.8214354708236931,Proteostasis,Spleen
34,Autophagy-Lysosome Pathway,-0.30058798239592927,0.02438581344542424,Proteostasis,Spleen
35,Ubiquitin Proteasome System,-0.30484774351788296,0.022342573860985603,Proteostasis,Spleen
36,Cytonuclear proteostasis,-0.07625883695670078,0.5800118180366218,Proteostasis,Lung
37,ER proteostasis,-0.036153143340861,0.7932858666295253,Proteostasis,Lung
38,Mitochondrial proteostasis,-0.1862412680026701,0.17338008320014878,Proteostasis,Lung
39,Nuclear proteostasis,-0.05910694447904055,0.6681738930501852,Proteostasis,Lung
40,PN regulation,-0.031148997121163088,0.821391273691144,Proteostasis,Lung
41,Translation,-0.15962501202253776,0.24438251356000626,Proteostasis,Lung
42,Extracellular proteostasis,-0.026144850901465174,0.8497211948838997,Proteostasis,Lung
43,Autophagy-Lysosome Pathway,-0.024839421452848332,0.8571442441436619,Proteostasis,Lung
44,Ubiquitin Proteasome System,-0.049533795189183674,0.7194938140812188,Proteostasis,Lung
45,Cytonuclear proteostasis,0.20825225898351526,0.12707250430406591,Proteostasis,Bone
46,ER proteostasis,0.23378065708980028,0.08582674341427621,Proteostasis,Bone
47,Mitochondrial proteostasis,0.2090862833534649,0.12552304681227353,Proteostasis,Bone
48,Nuclear proteostasis,0.11712603108423372,0.3944277517256436,Proteostasis,Bone
49,PN regulation,0.19911425284319734,0.14500834728746964,Proteostasis,Bone
50,Translation,0.20466232799981893,0.133907337276742,Proteostasis,Bone
