,subprocess,Spearman_rho,p_value,hallmark,Tissue
0,DNA damage response,-0.06775211291757546,0.6264109734805228,Senescence,Muscle
1,SASP,-0.033262915165416004,0.8112776355697782,Senescence,Muscle
2,SASP_Secreted,-0.08423028517694053,0.5448081042583807,Senescence,Muscle
3,Metabolic adaptations,-0.11906437490662158,0.3911550828253735,Senescence,Muscle
4,Cell cycle arrest,0.05138890465071758,0.7120996396740527,Senescence,Muscle
5,Nuclear changes,-0.11067200345359611,0.4256299258668045,Senescence,Muscle
6,SASP_Transmembrane,-0.16489668658615791,0.2334328254383355,Senescence,Muscle
7,SASP_Intracellular,-0.15313203801958797,0.2689467978916934,Senescence,Muscle
8,Changes in morphology,0.03234320322535842,0.8164040740772611,Senescence,Muscle
9,Upregulation of anti-apoptotic pathways,-0.11366106725878328,0.41315840955080807,Senescence,Muscle
10,Increased lysosomal content,-0.033339557827087474,0.8108507836040642,Senescence,Muscle
11,Cell surface markers,0.011189828604033955,0.9359934592991048,Senescence,Muscle
12,Other,-0.10814279561843776,0.43634732713714974,Senescence,Muscle
13,DNA damage response,0.043964363055127395,0.706097218545376,Senescence,Skin
14,SASP,0.12339981740293494,0.28823071669795336,Senescence,Skin
15,SASP_Secreted,0.1822755070960158,0.11503985373344355,Senescence,Skin
16,Metabolic adaptations,0.1916345978245378,0.09724634032652041,Senescence,Skin
17,Cell cycle arrest,0.08475405656798082,0.4666536545466138,Senescence,Skin
18,Nuclear changes,-0.013317120287720679,0.9090975534918866,Senescence,Skin
19,SASP_Transmembrane,0.2109849645583982,0.06732560729492432,Senescence,Skin
20,SASP_Intracellular,0.22189703216257795,0.05404396312800316,Senescence,Skin
21,Changes in morphology,0.03575969761470506,0.7590890253924707,Senescence,Skin
22,Upregulation of anti-apoptotic pathways,-0.11189679399651367,0.33587223866233384,Senescence,Skin
23,Increased lysosomal content,0.11542878565177087,0.3207434578837484,Senescence,Skin
24,Cell surface markers,0.19005413463249665,0.10008957804203512,Senescence,Skin
25,Other,0.12050001102449422,0.2997971038109776,Senescence,Skin
26,DNA damage response,0.01241395916524936,0.9290084348343466,Senescence,Marrow
27,SASP,-0.05544135466702415,0.690495524818338,Senescence,Marrow
28,SASP_Secreted,0.04789336097704229,0.7309175191960652,Senescence,Marrow
29,Metabolic adaptations,0.02835286969840903,0.8387318286148862,Senescence,Marrow
30,Cell cycle arrest,-0.12873735430628966,0.3535346353639318,Senescence,Marrow
31,Nuclear changes,-0.06862160760790618,0.6219797683933859,Senescence,Marrow
32,SASP_Transmembrane,-0.05973259981056714,0.667882559518539,Senescence,Marrow
33,SASP_Intracellular,-0.12777948708674883,0.35715762977703924,Senescence,Marrow
34,Changes in morphology,0.016322057420976012,0.9067464401065214,Senescence,Marrow
35,Upregulation of anti-apoptotic pathways,-0.20632459908909817,0.134432008835809,Senescence,Marrow
36,Increased lysosomal content,-0.15912090251012528,0.2504424942175932,Senescence,Marrow
37,Cell surface markers,-0.01992363816644959,0.886292877854453,Senescence,Marrow
38,Other,-0.17176474980806447,0.21426304431335164,Senescence,Marrow
39,DNA damage response,-0.2570971954572725,0.05576904423587051,Senescence,Spleen
40,SASP,-0.02693268322267526,0.8437996091182116,Senescence,Spleen
41,SASP_Secreted,0.08127899043985927,0.5515062963749578,Senescence,Spleen
42,Metabolic adaptations,-0.27434235741873036,0.040743870485547465,Senescence,Spleen
43,Cell cycle arrest,-0.30567221341245465,0.02196429942842665,Senescence,Spleen
44,Nuclear changes,-0.32772678309224734,0.013675263181713441,Senescence,Spleen
45,SASP_Transmembrane,-0.05310960237532647,0.6974636711495082,Senescence,Spleen
46,SASP_Intracellular,-0.05908700911097123,0.6653256050326959,Senescence,Spleen
47,Changes in morphology,-0.10821167366253452,0.42728100716661455,Senescence,Spleen
48,Upregulation of anti-apoptotic pathways,-0.1574737498631931,0.24641702659900136,Senescence,Spleen
49,Increased lysosomal content,-0.16200833428333739,0.23290256687282618,Senescence,Spleen
50,Cell surface markers,0.08677545640367053,0.524826460091576,Senescence,Spleen
51,Other,-0.1784290263502236,0.18827081503599524,Senescence,Spleen
52,DNA damage response,0.07415564506726252,0.5905335885241276,Senescence,Lung
53,SASP,-0.05109305814169825,0.7110434204412686,Senescence,Lung
54,SASP_Secreted,-0.09881375687446962,0.47291158355363094,Senescence,Lung
55,Metabolic adaptations,-0.07868838620829324,0.5679647839586208,Senescence,Lung
56,Cell cycle arrest,0.022736229563410076,0.8691291901923475,Senescence,Lung
57,Nuclear changes,0.10153340155908806,0.46075400650455556,Senescence,Lung
58,SASP_Transmembrane,0.030133663105572205,0.8271223335430375,Senescence,Lung
59,SASP_Intracellular,0.04877229467749051,0.7236329592226736,Senescence,Lung
60,Changes in morphology,-0.08140803089291167,0.5546189292668309,Senescence,Lung
61,Upregulation of anti-apoptotic pathways,0.18526219591620746,0.1756920707979232,Senescence,Lung
62,Increased lysosomal content,0.03970681239542908,0.7734819308522157,Senescence,Lung
63,Cell surface markers,-0.038546430663325214,0.7799334563353812,Senescence,Lung
64,Other,-0.04717676979584771,0.7323308324663531,Senescence,Lung
65,DNA damage response,0.22536788953204723,0.09805793635180564,Senescence,Bone
66,SASP,0.011603817321038637,0.9329909294945743,Senescence,Bone
67,SASP_Secreted,0.005366765510980369,0.9689804234279151,Senescence,Bone
68,Metabolic adaptations,0.2941205071592012,0.029285931458299195,Senescence,Bone
69,Cell cycle arrest,-0.0760412653819313,0.5810963080612586,Senescence,Bone
70,Nuclear changes,0.17525390347681163,0.2006168640284917,Senescence,Bone
71,SASP_Transmembrane,0.05366765510980369,0.6971660687627318,Senescence,Bone
72,SASP_Intracellular,0.03524659511265486,0.7983592363276859,Senescence,Bone
73,Changes in morphology,0.044058243890818576,0.7494270978801261,Senescence,Bone
74,Upregulation of anti-apoptotic pathways,0.18247002737333254,0.18240803728907695,Senescence,Bone
75,Increased lysosomal content,0.09478868274123435,0.49121502093051483,Senescence,Bone
76,Cell surface markers,-0.01983527523315042,0.8857076446851294,Senescence,Bone
77,Other,0.09446232537908014,0.49271510398603513,Senescence,Bone
78,DNA damage response,-0.08705325491520859,0.5234952882171076,Senescence,SCAT
79,SASP,0.01381034272924777,0.9195338070118252,Senescence,SCAT
80,SASP_Secreted,-0.008176272561096938,0.9523096811248376,Senescence,SCAT
81,Metabolic adaptations,0.07825860879907069,0.5664377920564538,Senescence,SCAT
82,Cell cycle arrest,-0.0024734942201637797,0.9855650825069071,Senescence,SCAT
83,Nuclear changes,0.08416751165835085,0.5374049405418238,Senescence,SCAT
84,SASP_Transmembrane,0.035453417155680844,0.7953214426749073,Senescence,SCAT
85,SASP_Intracellular,-0.012711011964730535,0.9259203806753029,Senescence,SCAT
86,Changes in morphology,-0.02604039748450201,0.8489129573356826,Senescence,SCAT
87,Upregulation of anti-apoptotic pathways,0.03758337051193299,0.783314732916013,Senescence,SCAT
88,Increased lysosomal content,0.07269324680370219,0.5944334575184735,Senescence,SCAT
89,Cell surface markers,0.17493100790380509,0.19722154979792084,Senescence,SCAT
90,Other,0.03744595416636833,0.7840878803298279,Senescence,SCAT
91,DNA damage response,-0.10731849794341519,0.4311283606016416,Senescence,MAT
92,SASP,-0.09405827380572049,0.4904939771326704,Senescence,MAT
93,SASP_Secreted,0.005359054314715996,0.9687315390603719,Senescence,MAT
94,Metabolic adaptations,-0.13871705976168713,0.3079228034329105,Senescence,MAT
95,Cell cycle arrest,-0.01999339494336352,0.8837185810951025,Senescence,MAT
