Hallmark,Subprocess,Gene Symbol,Spearman,p-value,Experiment,Species
Autophagy,Autophagy core,Bcl2,-0.5753750799174157,5.431518106029757e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Mapk14,0.2674013783334346,0.0830029036702063,Reprogramming-4,Mouse
Autophagy,Autophagy core,Bcl2l1,-0.4251781435052665,0.004480832072626,Reprogramming-4,Mouse
Autophagy,Autophagy core,Pik3r4,0.7698220041571768,1.602054888947711e-09,Reprogramming-4,Mouse
Autophagy,Autophagy core,Ulk1,0.9392349014523071,1.2026008735836171e-20,Reprogramming-4,Mouse
Autophagy,Autophagy core,Atg13,0.8183569236714618,2.053590036585424e-11,Reprogramming-4,Mouse
Autophagy,Autophagy core,Ambra1,0.7381080349284208,1.6209807296619942e-08,Reprogramming-4,Mouse
Autophagy,Autophagy core,Ulk3,-0.2733093171734309,0.0761734615584711,Reprogramming-4,Mouse
Autophagy,Autophagy core,Traf6,-0.2589039397433942,0.093652144286252,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rb1cc1,-0.6732114861334739,7.560440731716534e-07,Reprogramming-4,Mouse
Autophagy,Autophagy core,Ulk2,-0.4712045871893323,0.0014260340985763,Reprogramming-4,Mouse
Autophagy,Autophagy core,Becn2,0.3618599026540156,0.0171079081064438,Reprogramming-4,Mouse
Autophagy,Autophagy core,Becn1,-0.5259991040735841,0.0002916644350032,Reprogramming-4,Mouse
Autophagy,Autophagy core,Pik3c3,0.7364724823332863,1.8101382893411843e-08,Reprogramming-4,Mouse
Autophagy,Autophagy core,Atg14,0.9075599765952312,4.817499819180692e-17,Reprogramming-4,Mouse
Autophagy,Autophagy core,Uvrag,-0.5081047676970916,0.000504385547923,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rnf2,0.7762524982253156,9.57969715861658e-10,Reprogramming-4,Mouse
Autophagy,Autophagy core,Tlr4,-0.5415059651012691,0.0001769257230656,Reprogramming-4,Mouse
Autophagy,Autophagy core,Sh3glb1,-0.596374286629553,2.4404008161851063e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Vmp1,-0.5602950724369906,9.335703899971753e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Birc5,0.7356581379138258,1.911822919864121e-08,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rhoq,-0.5436064092601545,0.0001650312674281,Reprogramming-4,Mouse
Autophagy,Autophagy core,Was,0.7067200465977147,1.182099122498089e-07,Reprogramming-4,Mouse
