Hallmark,Subprocess,Spearman,p-value,Experiment,Specias
Autophagy,Autophagy core,-0.183909,2.580566e-02,Reprogramming-1,Human
Autophagy,Autophagy downregulators,-0.296918,3.922365e-02,Reprogramming-1,Human
Autophagy,Autophagy upregulators,-0.055276,3.782622e-02,Reprogramming-1,Human
Autophagy,Docking and fusion,-0.301399,2.791838e-03,Reprogramming-1,Human
Autophagy,Lysosome,-0.188068,2.327778e-02,Reprogramming-1,Human
Autophagy,Lysosome-related genes,-0.098581,1.012436e-01,Reprogramming-1,Human
Autophagy,Mitophagy,-0.226071,3.782622e-02,Reprogramming-1,Human
Autophagy,Other,-0.214563,7.524629e-03,Reprogramming-1,Human
Autophagy,mTOR and upstream pathways,-0.091740,7.051987e-02,Reprogramming-1,Human
Genomic instability,Auxiliary Processes,-0.335499,1.354389e-03,Reprogramming-1,Human
Genomic instability,Base Excision Repair,0.032360,9.665532e-02,Reprogramming-1,Human
Genomic instability,Cell Cycle Control,-0.098235,2.287635e-09,Reprogramming-1,Human
Genomic instability,Cell Cycle and Mitotic Regulation,-0.116230,1.512044e-03,Reprogramming-1,Human
Genomic instability,Chromatin Remodeling,NaN,NaN,Reprogramming-1,Human
Genomic instability,Chromatin and Nuclear Organization,0.111515,3.679171e-01,Reprogramming-1,Human
Genomic instability,DNA Damage Signaling,-0.225839,2.114015e-02,Reprogramming-1,Human
Genomic instability,DNA Replication/Repair,0.131213,6.930602e-02,Reprogramming-1,Human
Genomic instability,Direct Reversal Repair,-0.259399,2.562836e-02,Reprogramming-1,Human
Genomic instability,Double-Strand Break Repair,0.008170,1.874421e-01,Reprogramming-1,Human
Genomic instability,Exonuclease,NaN,NaN,Reprogramming-1,Human
Genomic instability,Genome Maintenance,0.299565,2.741739e-04,Reprogramming-1,Human
Genomic instability,Homologous Recombination,0.051453,1.675905e-02,Reprogramming-1,Human
Genomic instability,Interstrand Crosslink Repair,0.170254,1.469858e-01,Reprogramming-1,Human
Genomic instability,Mismatch Repair,-0.088083,6.791899e-02,Reprogramming-1,Human
Genomic instability,Mitochondrial DNA Repair,NaN,NaN,Reprogramming-1,Human
Genomic instability,Non-homologous End Joining,0.036387,1.561122e-02,Reprogramming-1,Human
Genomic instability,Nucleotide Excision Repair,-0.240273,3.135446e-02,Reprogramming-1,Human
Genomic instability,Other,-0.168570,1.140770e-01,Reprogramming-1,Human
Genomic instability,Protein Regulation,0.165927,1.340197e-03,Reprogramming-1,Human
Genomic instability,Replication Stress Response,0.033889,1.216435e-01,Reprogramming-1,Human
Genomic instability,Single-Strand Break Repair,0.181995,1.171664e-01,Reprogramming-1,Human
Genomic instability,Telomere Maintenance,NaN,NaN,Reprogramming-1,Human
Genomic instability,Transcription,-0.250951,3.103296e-02,Reprogramming-1,Human
Genomic instability,Transcription-Coupled Repair,-0.276423,1.110862e-01,Reprogramming-1,Human
Genomic instability,Transcription-Replication Conflict,0.201311,7.445902e-03,Reprogramming-1,Human
Genomic instability,Translesion Synthesis,-0.381029,4.346914e-03,Reprogramming-1,Human
Proteostasis,Autophagy-Lysosome Pathway,-0.182456,2.660295e-02,Reprogramming-1,Human
