,subprocess,Spearman_rho,p_value,hallmark,Tissue
0,mTOR and upstream pathways,-0.06395830116483793,0.645897281098144,Autophagy,Muscle
1,Autophagy core,-0.10158984804552747,0.4648058992932602,Autophagy,Muscle
2,Autophagy upregulators,-0.07978501079999553,0.5663099216106606,Autophagy,Muscle
3,Autophagy downregulators,-0.219083048387884,0.11146150574369222,Autophagy,Muscle
4,Mitophagy,-0.06763714892506825,0.6269978501414266,Autophagy,Muscle
5,Docking and fusion,-0.11143843007031076,0.42241193369654506,Autophagy,Muscle
6,Lysosome,-0.1557378885164178,0.2607862991873895,Autophagy,Muscle
7,Lysosome-related genes,-0.07614448437060092,0.5842082173988377,Autophagy,Muscle
8,Other,-0.1576156337273687,0.2550100860815503,Autophagy,Muscle
9,mTOR and upstream pathways,0.13664822189969733,0.2391718659396662,Autophagy,Skin
10,Autophagy core,0.15360727910820848,0.1852370152644998,Autophagy,Skin
11,Autophagy upregulators,0.2614635845963735,0.022521633808121257,Autophagy,Skin
12,Autophagy downregulators,0.2182413520835958,0.05823154336437431,Autophagy,Skin
13,Mitophagy,0.2512249317435851,0.02859187724495555,Autophagy,Skin
14,Docking and fusion,0.230115440761192,0.04552438414785415,Autophagy,Skin
15,Lysosome,0.22966191654086712,0.04596370850780686,Autophagy,Skin
16,Lysosome-related genes,0.07370455738188442,0.5268943405581011,Autophagy,Skin
17,Other,0.13005150596769946,0.2628263232489981,Autophagy,Skin
18,mTOR and upstream pathways,0.019617120656196523,0.8880309367532304,Autophagy,Marrow
19,Autophagy core,-0.07509679001200231,0.5894060461954083,Autophagy,Marrow
20,Autophagy upregulators,-0.0671656494342041,0.6294071905277183,Autophagy,Marrow
21,Autophagy downregulators,-0.15785651778033138,0.25427539272128535,Autophagy,Marrow
22,Mitophagy,-0.03306557641855,0.8123769400855914,Autophagy,Marrow
23,Docking and fusion,-0.0691963279396307,0.6190580937694923,Autophagy,Marrow
24,Lysosome,-0.15590246865246804,0.2602765432323512,Autophagy,Marrow
25,Lysosome-related genes,-0.15011695064644137,0.27859908569761743,Autophagy,Marrow
26,Other,-0.1054420235270563,0.4479565538660648,Autophagy,Marrow
27,mTOR and upstream pathways,-0.32305478702300783,0.015161347809326708,Autophagy,Spleen
28,Autophagy core,-0.33294842575786815,0.012163988515181726,Autophagy,Spleen
29,Autophagy upregulators,-0.3003131590977387,0.024522869729114626,Autophagy,Spleen
30,Autophagy downregulators,-0.0028169388064532793,0.9835610535718211,Autophagy,Spleen
31,Mitophagy,-0.3267649015485804,0.013970557275532598,Autophagy,Spleen
32,Docking and fusion,-0.27743411952337427,0.03844011173902718,Autophagy,Spleen
33,Lysosome,-0.2879461106791633,0.031397534369725116,Autophagy,Spleen
34,Lysosome-related genes,-0.25476119742265274,0.05811153341799878,Autophagy,Spleen
35,Other,-0.28993857959104485,0.030192141887918852,Autophagy,Spleen
36,mTOR and upstream pathways,-0.08485291416009502,0.5379311405772229,Autophagy,Lung
37,Autophagy core,0.02578223161018272,0.8517818838303728,Autophagy,Lung
38,Autophagy upregulators,-0.05141941550385246,0.7092790505819111,Autophagy,Lung
39,Autophagy downregulators,-0.08108167353075747,0.5562125346277218,Autophagy,Lung
40,Mitophagy,-0.07110964302048989,0.6059213392788945,Autophagy,Lung
41,Docking and fusion,-0.08013886337342307,0.5608284314743807,Autophagy,Lung
42,Lysosome,0.07328535876818464,0.5949122389465513,Autophagy,Lung
43,Lysosome-related genes,0.029227114877366067,0.8322469294914807,Autophagy,Lung
