ENSEMBL,ENSEMBL_mice
ENSG00000087088,ENSMUSG00000003873
ENSG00000176697,ENSMUSG00000048482
ENSG00000158941,ENSMUSG00000033712
ENSG00000108691,ENSMUSG00000035385
ENSG00000004468,ENSMUSG00000029084
ENSG00000124762,ENSMUSG00000023067
ENSG00000129757,ENSMUSG00000037664
ENSG00000130513,ENSMUSG00000038508
ENSG00000188486,ENSMUSG00000049932
ENSG00000125538,ENSMUSG00000027398
ENSG00000136244,ENSMUSG00000025746
ENSG00000113368,ENSMUSG00000024590
ENSG00000135679,ENSMUSG00000020184
ENSG00000262406,ENSMUSG00000049723
ENSG00000149968,ENSMUSG00000043613
ENSG00000166592,ENSMUSG00000031880
ENSG00000106366,ENSMUSG00000037411
ENSG00000096717,ENSMUSG00000020063
ENSG00000232810,ENSMUSG00000024401
ENSG00000141510,ENSMUSG00000059552
ENSG00000149311,ENSMUSG00000034218
ENSG00000171791,ENSMUSG00000057329
ENSG00000115009,ENSMUSG00000026166
ENSG00000106178,ENSMUSG00000004814
ENSG00000108688,ENSMUSG00000035373
ENSG00000172216,ENSMUSG00000056501
ENSG00000184371,ENSMUSG00000014599
ENSG00000164400,ENSMUSG00000018916
ENSG00000108342,ENSMUSG00000038067
ENSG00000026103,ENSMUSG00000024778
ENSG00000129682,ENSMUSG00000031137
ENSG00000090339,ENSMUSG00000037405
ENSG00000111537,ENSMUSG00000055170
ENSG00000146674,ENSMUSG00000020427
ENSG00000141753,ENSMUSG00000017493
ENSG00000163453,ENSMUSG00000036256
ENSG00000112115,ENSMUSG00000025929
ENSG00000115008,ENSMUSG00000027399
ENSG00000122641,ENSMUSG00000041324
ENSG00000125347,ENSMUSG00000018899
ENSG00000148773,ENSMUSG00000031004
ENSG00000137745,ENSMUSG00000050578
ENSG00000100985,ENSMUSG00000017737
ENSG00000109320,ENSMUSG00000028163
ENSG00000182752,ENSMUSG00000028370
ENSG00000001617,ENSMUSG00000034684
ENSG00000197632,ENSMUSG00000062345
ENSG00000105329,ENSMUSG00000002603
ENSG00000162692,ENSMUSG00000027962
ENSG00000112715,ENSMUSG00000023951
ENSG00000143632,ENSMUSG00000031972
ENSG00000168487,ENSMUSG00000022098
ENSG00000092529,ENSMUSG00000079110
ENSG00000172156,ENSMUSG00000020676
ENSG00000142871,ENSMUSG00000028195
ENSG00000110092,ENSMUSG00000070348
ENSG00000105173,ENSMUSG00000002068
ENSG00000147883,ENSMUSG00000073802
ENSG00000123080,ENSMUSG00000028551
ENSG00000164430,ENSMUSG00000032344
ENSG00000006210,ENSMUSG00000031778
ENSG00000169245,ENSMUSG00000034855
ENSG00000107562,ENSMUSG00000061353
ENSG00000124205,ENSMUSG00000027524
ENSG00000156466,ENSMUSG00000051279
ENSG00000019991,ENSMUSG00000028864
ENSG00000017427,ENSMUSG00000020053
ENSG00000115461,ENSMUSG00000026185
ENSG00000095752,ENSMUSG00000004371
ENSG00000172349,ENSMUSG00000001741
ENSG00000137033,ENSMUSG00000024810
ENSG00000104432,ENSMUSG00000040329
ENSG00000091136,ENSMUSG00000002900
ENSG00000145050,ENSMUSG00000032575
ENSG00000189221,ENSMUSG00000025037
ENSG00000087245,ENSMUSG00000031740
ENSG00000086967,ENSMUSG00000038670
ENSG00000092054,ENSMUSG00000053093
ENSG00000175206,ENSMUSG00000041616
ENSG00000133110,ENSMUSG00000027750
ENSG00000184584,ENSMUSG00000024349
ENSG00000092969,ENSMUSG00000039239
ENSG00000113296,ENSMUSG00000021702
ENSG00000146072,ENSMUSG00000023915
ENSG00000067369,ENSMUSG00000043909
ENSG00000167601,ENSMUSG00000002602
ENSG00000129355,ENSMUSG00000096472
ENSG00000170266,ENSMUSG00000045594
ENSG00000197272,ENSMUSG00000044701
ENSG00000131981,ENSMUSG00000050335
ENSG00000108679,ENSMUSG00000033880
ENSG00000113648,ENSMUSG00000015937
ENSG00000240972,ENSMUSG00000033307
ENSG00000198793,ENSMUSG00000028991
ENSG00000132646,ENSMUSG00000027342
ENSG00000011422,ENSMUSG00000046223
ENSG00000182568,ENSMUSG00000023927
ENSG00000118785,ENSMUSG00000029304
ENSG00000035862,ENSMUSG00000017466
ENSG00000170017,ENSMUSG00000022636
ENSG00000182492,ENSMUSG00000031375
ENSG00000153162,ENSMUSG00000039004
ENSG00000102970,ENSMUSG00000031780
ENSG00000102962,ENSMUSG00000031779
ENSG00000105472,ENSMUSG00000004473
ENSG00000103187,ENSMUSG00000031827
ENSG00000164733,ENSMUSG00000021939
ENSG00000117984,ENSMUSG00000007891
ENSG00000101160,ENSMUSG00000016256
ENSG00000161921,ENSMUSG00000018920
ENSG00000138685,ENSMUSG00000037225
ENSG00000196924,ENSMUSG00000031328
ENSG00000115414,ENSMUSG00000026193
ENSG00000148180,ENSMUSG00000026879
ENSG00000115457,ENSMUSG00000039323
ENSG00000164136,ENSMUSG00000031712
ENSG00000115594,ENSMUSG00000026072
ENSG00000109471,ENSMUSG00000027720
ENSG00000145839,ENSMUSG00000021538
ENSG00000137673,ENSMUSG00000018623
ENSG00000080823,ENSMUSG00000056458
ENSG00000005381,ENSMUSG00000009350
ENSG00000116288,ENSMUSG00000028964
ENSG00000102144,ENSMUSG00000062070
ENSG00000104368,ENSMUSG00000031538
ENSG00000122861,ENSMUSG00000021822
ENSG00000139687,ENSMUSG00000022105
ENSG00000135919,ENSMUSG00000026249
ENSG00000149131,ENSMUSG00000023224
