gene,module
ENSG00000026297,1
ENSG00000122884,2
ENSG00000168228,3
ENSG00000060138,4
ENSG00000254726,5
ENSG00000203995,6
ENSG00000078177,7
ENSG00000064012,7
ENSG00000179163,7
ENSG00000136770,7
ENSG00000154914,7
ENSG00000104081,8
ENSG00000110721,8
ENSG00000124762,9
ENSG00000164616,10
ENSG00000012822,11
ENSG00000162607,11
ENSG00000163682,12
ENSG00000171206,13
ENSG00000077150,13
ENSG00000148180,13
ENSG00000167257,13
ENSG00000133858,13
ENSG00000163462,13
ENSG00000142149,14
ENSG00000077721,14
ENSG00000160213,14
ENSG00000132388,14
ENSG00000110713,14
ENSG00000151835,14
ENSG00000025772,14
ENSG00000148841,15
ENSG00000100628,15
ENSG00000115963,15
ENSG00000149577,15
ENSG00000010404,15
ENSG00000127334,15
ENSG00000100505,15
ENSG00000013374,16
ENSG00000131023,16
ENSG00000128789,16
ENSG00000166128,16
ENSG00000108671,16
ENSG00000106211,16
ENSG00000196470,16
ENSG00000071537,16
ENSG00000141580,16
ENSG00000115457,16
ENSG00000119318,16
ENSG00000120738,16
ENSG00000105173,16
ENSG00000157106,16
ENSG00000119669,16
ENSG00000100567,16
ENSG00000010072,16
ENSG00000130177,17
ENSG00000165501,17
ENSG00000131508,18
ENSG00000147364,18
ENSG00000160691,18
ENSG00000198246,18
ENSG00000181852,18
ENSG00000119912,18
ENSG00000110906,18
ENSG00000274523,19
ENSG00000141646,19
ENSG00000170266,19
ENSG00000101084,19
ENSG00000104763,19
ENSG00000122042,19
ENSG00000172732,20
ENSG00000183763,20
ENSG00000132153,20
ENSG00000110958,20
ENSG00000124789,20
ENSG00000050748,20
ENSG00000132002,20
ENSG00000094916,20
ENSG00000116044,20
ENSG00000101343,20
ENSG00000213186,20
ENSG00000058804,20
ENSG00000182552,20
ENSG00000213341,20
ENSG00000182481,20
ENSG00000047410,20
ENSG00000196151,21
ENSG00000101132,21
ENSG00000124535,21
ENSG00000142082,22
ENSG00000223638,23
ENSG00000204449,23
ENSG00000182053,23
ENSG00000144010,23
ENSG00000150244,23
ENSG00000229292,23
ENSG00000131864,23
ENSG00000168930,23
ENSG00000144015,23
ENSG00000164347,24
ENSG00000144524,24
ENSG00000165699,24
ENSG00000130985,24
ENSG00000156804,24
ENSG00000122033,24
ENSG00000110497,24
ENSG00000175567,24
ENSG00000100479,24
ENSG00000140525,24
ENSG00000166295,24
ENSG00000023572,24
ENSG00000082641,24
ENSG00000205981,24
ENSG00000198373,24
ENSG00000114902,24
ENSG00000132405,24
ENSG00000165672,24
ENSG00000102858,24
ENSG00000143751,24
ENSG00000136436,24
ENSG00000087206,24
ENSG00000163743,24
ENSG00000034693,24
ENSG00000078900,25
ENSG00000101871,25
ENSG00000189253,26
ENSG00000241945,26
ENSG00000117560,26
ENSG00000185247,26
ENSG00000101146,27
ENSG00000134086,27
ENSG00000196839,28
ENSG00000103540,29
ENSG00000096433,29
