,Gene,Hallmark,Subprocess,ENSEMBL,ENSEMBL_mice
0,BAX,Senescence,DNA damage response,ENSG00000087088,ENSMUSG00000003873
1,BDNF,Senescence,SASP,ENSG00000176697,ENSMUSG00000048482
2,CCAR2,Senescence,DNA damage response,ENSG00000158941,ENSMUSG00000033712
3,CCL2,Senescence,SASP_Secreted,ENSG00000108691,ENSMUSG00000035385
4,CD38,Senescence,Metabolic adaptations,ENSG00000004468,ENSMUSG00000029084
5,CDKN1A,Senescence,Cell cycle arrest,ENSG00000124762,ENSMUSG00000023067
6,CDKN1C,Senescence,Cell cycle arrest,ENSG00000129757,ENSMUSG00000037664
7,CDKN2A,Senescence,Cell cycle arrest,ENSG00000147889,ENSMUSG00000044303
8,CXCL8,Senescence,SASP_Secreted,ENSG00000169429,
9,GDF15,Senescence,SASP_Secreted,ENSG00000130513,ENSMUSG00000038508
10,H2AX,Senescence,DNA damage response,ENSG00000188486,ENSMUSG00000049932
11,IL1B,Senescence,SASP_Secreted,ENSG00000125538,ENSMUSG00000027398
12,IL6,Senescence,SASP_Secreted,ENSG00000136244,ENSMUSG00000025746
13,LMNB1,Senescence,Nuclear changes,ENSG00000113368,ENSMUSG00000024590
14,MDM2,Senescence,Cell cycle arrest,ENSG00000135679,ENSMUSG00000020184
15,MMP12,Senescence,SASP_Secreted,ENSG00000262406,ENSMUSG00000049723
16,MMP3,Senescence,SASP_Secreted,ENSG00000149968,ENSMUSG00000043613
17,RRAD,Senescence,Metabolic adaptations,ENSG00000166592,ENSMUSG00000031880
18,SERPINE1,Senescence,SASP_Secreted,ENSG00000106366,ENSMUSG00000037411
19,SIRT1,Senescence,Nuclear changes,ENSG00000096717,ENSMUSG00000020063
20,TNF,Senescence,SASP_Secreted,ENSG00000232810,ENSMUSG00000024401
21,TP53,Senescence,Cell cycle arrest,ENSG00000141510,
22,ATM,Senescence,Cell cycle arrest,ENSG00000149311,ENSMUSG00000034218
23,BCL2,Senescence,Cell cycle arrest,ENSG00000171791,ENSMUSG00000057329
24,CCL20,Senescence,SASP_Secreted,ENSG00000115009,ENSMUSG00000026166
25,CCL24,Senescence,SASP_Secreted,ENSG00000106178,ENSMUSG00000004814
26,CCL3,Senescence,SASP_Secreted,ENSG00000274221,ENSMUSG00000000982
27,CCL5,Senescence,SASP_Secreted,ENSG00000274233,ENSMUSG00000035042
28,CCL7,Senescence,SASP_Secreted,ENSG00000108688,ENSMUSG00000035373
29,CCL8,Senescence,SASP_Secreted,ENSG00000108700,ENSMUSG00000009185
30,CEBPB,Senescence,SASP,ENSG00000172216,ENSMUSG00000056501
31,CSF1,Senescence,SASP_Secreted,ENSG00000184371,ENSMUSG00000014599
32,CSF2,Senescence,SASP_Secreted,ENSG00000164400,ENSMUSG00000018916
33,CSF3,Senescence,SASP,ENSG00000108342,ENSMUSG00000038067
34,CXCL1,Senescence,SASP_Secreted,ENSG00000163739,ENSMUSG00000029380
35,CXCL2,Senescence,SASP_Secreted,ENSG00000081041,ENSMUSG00000058427
36,FAS,Senescence,SASP_Transmembrane,ENSG00000026103,ENSMUSG00000024778
37,FGF13,Senescence,SASP,ENSG00000129682,ENSMUSG00000031137
