Gene,Biological Function,Subprocess,ENSEMBL,Hallmark
LAMTOR1,mTOR regulators,mTOR and upstream pathways,ENSG00000149357,Autophagy
LAMTOR2,mTOR regulators,mTOR and upstream pathways,ENSG00000116586,Autophagy
LAMTOR3,mTOR regulators,mTOR and upstream pathways,ENSG00000109270,Autophagy
LAMTOR4,mTOR regulators,mTOR and upstream pathways,ENSG00000188186,Autophagy
LAMTOR5,mTOR regulators,mTOR and upstream pathways,ENSG00000134248,Autophagy
FLCN,mTOR regulators,mTOR and upstream pathways,ENSG00000154803,Autophagy
FNIP1,mTOR regulators,mTOR and upstream pathways,ENSG00000217128,Autophagy
FNIP2,mTOR regulators,mTOR and upstream pathways,ENSG00000052795,Autophagy
MIOS,mTOR regulators,mTOR and upstream pathways,ENSG00000164654,Autophagy
SEH1L,mTOR regulators,mTOR and upstream pathways,ENSG00000085415,Autophagy
WDR24,mTOR regulators,mTOR and upstream pathways,ENSG00000127580,Autophagy
WDR59,mTOR regulators,mTOR and upstream pathways,ENSG00000103091,Autophagy
SEC13,mTOR regulators,mTOR and upstream pathways,ENSG00000157020,Autophagy
RHEB,mTOR regulators,mTOR and upstream pathways,ENSG00000106615,Autophagy
NPC1,mTOR regulators,mTOR and upstream pathways,ENSG00000141458,Autophagy
SLC38A9,mTOR regulators,mTOR and upstream pathways,ENSG00000177058,Autophagy
NPC2,mTOR regulators,mTOR and upstream pathways,ENSG00000119655,Autophagy
BTRC,mTOR regulators,mTOR and upstream pathways,ENSG00000166167,Autophagy
SESN2,mTOR regulators,mTOR and upstream pathways,ENSG00000130766,Autophagy
SESN1,mTOR regulators,mTOR and upstream pathways,ENSG00000080546,Autophagy
SESN3,mTOR regulators,mTOR and upstream pathways,ENSG00000149212,Autophagy
PPP2CA,mTOR regulators,mTOR and upstream pathways,ENSG00000113575,Autophagy
RRAGA,mTOR regulators,mTOR and upstream pathways,ENSG00000155876,Autophagy
RRAGC,mTOR regulators,mTOR and upstream pathways,ENSG00000116954,Autophagy
RRAGD,mTOR regulators,mTOR and upstream pathways,ENSG00000025039,Autophagy
RRAGB,mTOR regulators,mTOR and upstream pathways,ENSG00000083750,Autophagy
TSC2,mTOR regulators,mTOR and upstream pathways,ENSG00000103197,Autophagy
TSC1,mTOR regulators,mTOR and upstream pathways,ENSG00000165699,Autophagy
NPRL2,mTOR regulators,mTOR and upstream pathways,ENSG00000114388,Autophagy
NPRL3,mTOR regulators,mTOR and upstream pathways,ENSG00000103148,Autophagy
DEPDC5,mTOR regulators,mTOR and upstream pathways,ENSG00000100150,Autophagy
KPTN,mTOR regulators,mTOR and upstream pathways,ENSG00000118162,Autophagy
ITFG2,mTOR regulators,mTOR and upstream pathways,ENSG00000111203,Autophagy
SZT2,mTOR regulators,mTOR and upstream pathways,ENSG00000198198,Autophagy
CASTOR1,mTOR regulators,mTOR and upstream pathways,ENSG00000239282,Autophagy
CASTOR2,mTOR regulators,mTOR and upstream pathways,ENSG00000274070,Autophagy
LGALS8,mTOR regulators,mTOR and upstream pathways,ENSG00000116977,Autophagy
ATP6V0E1,mTOR regulators,mTOR and upstream pathways,ENSG00000113732,Autophagy
ATP6V1D,mTOR regulators,mTOR and upstream pathways,ENSG00000100554,Autophagy
ATP6V1G3,mTOR regulators,mTOR and upstream pathways,ENSG00000263014,Autophagy
ATP6V1C2,mTOR regulators,mTOR and upstream pathways,ENSG00000143882,Autophagy
ATP6V1B2,mTOR regulators,mTOR and upstream pathways,ENSG00000147416,Autophagy
ATP6V0A1,mTOR regulators,mTOR and upstream pathways,ENSG00000033627,Autophagy
ATP6V1B1,mTOR regulators,mTOR and upstream pathways,ENSG00000116039,Autophagy
ATP6V1G2,mTOR regulators,mTOR and upstream pathways,ENSG00000230900,Autophagy
ATP6V1E2,mTOR regulators,mTOR and upstream pathways,ENSG00000250565,Autophagy
ATP6V0A4,mTOR regulators,mTOR and upstream pathways,ENSG00000105929,Autophagy
ATP6V1E1,mTOR regulators,mTOR and upstream pathways,ENSG00000131100,Autophagy
ATP6V0B,mTOR regulators,mTOR and upstream pathways,ENSG00000117410,Autophagy
TCIRG1,mTOR regulators,mTOR and upstream pathways,ENSG00000110719,Autophagy
ATP6AP2,mTOR regulators,mTOR and upstream pathways,ENSG00000182220,Autophagy
ATP6V1A,mTOR regulators,mTOR and upstream pathways,ENSG00000114573,Autophagy
ATP6AP1,mTOR regulators,mTOR and upstream pathways,ENSG00000071553,Autophagy
ATP6V1G1,mTOR regulators,mTOR and upstream pathways,ENSG00000136888,Autophagy
ATP6V0E2,mTOR regulators,mTOR and upstream pathways,ENSG00000171130,Autophagy
ATP6V0C,mTOR regulators,mTOR and upstream pathways,ENSG00000185883,Autophagy
ATP6V1H,mTOR regulators,mTOR and upstream pathways,ENSG00000047249,Autophagy
ATP6V0A2,mTOR regulators,mTOR and upstream pathways,ENSG00000185344,Autophagy
ATP6V1C1,mTOR regulators,mTOR and upstream pathways,ENSG00000155097,Autophagy
ATP6V1F,mTOR regulators,mTOR and upstream pathways,ENSG00000128524,Autophagy
ATP6V0D1,mTOR regulators,mTOR and upstream pathways,ENSG00000159720,Autophagy
MTOR,mTOR complexes 1 and 2,mTOR and upstream pathways,ENSG00000198793,Autophagy
DEPTOR,mTOR complexes 1 and 2,mTOR and upstream pathways,ENSG00000155792,Autophagy
RPTOR,mTOR complexes 1 and 2,mTOR and upstream pathways,ENSG00000141564,Autophagy
AKT1S1,mTOR complexes 1 and 2,mTOR and upstream pathways,ENSG00000204673,Autophagy
MLST8,mTOR complexes 1 and 2,mTOR and upstream pathways,ENSG00000167965,Autophagy
RICTOR,mTOR complexes 1 and 2,mTOR and upstream pathways,ENSG00000164327,Autophagy
PRR5,mTOR complexes 1 and 2,mTOR and upstream pathways,ENSG00000186654,Autophagy
MAPKAP1,mTOR complexes 1 and 2,mTOR and upstream pathways,ENSG00000119487,Autophagy
TELO2,mTOR complexes 1 and 2,mTOR and upstream pathways,ENSG00000100726,Autophagy
TTI1,mTOR complexes 1 and 2,mTOR and upstream pathways,ENSG00000101407,Autophagy
TTI2,mTOR complexes 1 and 2,mTOR and upstream pathways,ENSG00000129696,Autophagy
PRR5L,mTOR complexes 1 and 2,mTOR and upstream pathways,ENSG00000135362,Autophagy
PRKAA1,AMPK complex,mTOR and upstream pathways,ENSG00000132356,Autophagy
PRKAA2,AMPK complex,mTOR and upstream pathways,ENSG00000162409,Autophagy
PRKAG1,AMPK complex,mTOR and upstream pathways,ENSG00000181929,Autophagy
PRKAG2,AMPK complex,mTOR and upstream pathways,ENSG00000106617,Autophagy
PRKAG3,AMPK complex,mTOR and upstream pathways,ENSG00000115592,Autophagy
PRKAB1,AMPK complex,mTOR and upstream pathways,ENSG00000111725,Autophagy
PRKAB2,AMPK complex,mTOR and upstream pathways,ENSG00000131791,Autophagy
STK11,AMPK activator,mTOR and upstream pathways,ENSG00000118046,Autophagy
STRADA,AMPK activator,mTOR and upstream pathways,ENSG00000266173,Autophagy
STRADB,AMPK activator,mTOR and upstream pathways,ENSG00000082146,Autophagy
CAB39,AMPK activator,mTOR and upstream pathways,ENSG00000135932,Autophagy
CAB39L,AMPK activator,mTOR and upstream pathways,ENSG00000102547,Autophagy
CAMKK2,AMPK activator,mTOR and upstream pathways,ENSG00000110931,Autophagy
PIK3CA,PI3K complex-class 1,mTOR and upstream pathways,ENSG00000121879,Autophagy
PIK3CB,PI3K complex-class 1,mTOR and upstream pathways,ENSG00000051382,Autophagy
PIK3CD,PI3K complex-class 1,mTOR and upstream pathways,ENSG00000171608,Autophagy
PIK3CG,PI3K complex-class 1,mTOR and upstream pathways,ENSG00000105851,Autophagy
PIK3R1,PI3K complex-class 1,mTOR and upstream pathways,ENSG00000145675,Autophagy
PIK3R2,PI3K complex-class 1,mTOR and upstream pathways,ENSG00000105647,Autophagy
