Gene,Original_Subprocess,Hallmark,Subprocess,Specific_Subcategory,Regulation
AURKB,Replication stress,Genomic instability,Cell Cycle and Mitotic Regulation,Mitotic Kinase Activity,Upregulated
CCNA2,Replication stress,Genomic instability,Cell Cycle and Mitotic Regulation,Cell Cycle Progression,Upregulated
GADD45G,Replication stress,Genomic instability,Replication Stress Response,Replication Checkpoint Activation,Upregulated
GINS1,Replication stress,Genomic instability,Replication Stress Response,Fork Progression Regulation,Upregulated
LIG3,Replication stress,Genomic instability,Replication Stress Response,DNA Ligation during Replication,Upregulated
MTF2,Replication stress,Genomic instability,Transcription-Replication Conflict,Transcription Regulation,Unknown
ORC6,Replication stress,Genomic instability,Replication Stress Response,Replication Origin Firing,Upregulated
POLA1,Replication stress,Genomic instability,Replication Stress Response,DNA Synthesis during Replication,Upregulated
POLD4,Replication stress,Genomic instability,Replication Stress Response,DNA Synthesis during Replication,Upregulated
POLE4,Replication stress,Genomic instability,Replication Stress Response,DNA Synthesis during Replication,Upregulated
PRPS1,Replication stress,Genomic instability,Replication Stress Response,Nucleotide Pool Regulation,Upregulated
RFC5,Replication stress,Genomic instability,Replication Stress Response,PCNA Loading during Replication,Upregulated
RMI1,Replication stress,Genomic instability,Replication Stress Response,Fork Remodeling and Restart,Upregulated
RRM1,Replication stress,Genomic instability,Replication Stress Response,Nucleotide Pool Regulation,Upregulated
SRSF1,Replication stress,Genomic instability,Transcription-Replication Conflict,R-loop Prevention,Unknown
SUV39H1,Replication stress,Genomic instability,Chromatin and Nuclear Organization,Histone Modification,Unknown
TNPO2,Replication stress,Genomic instability,Chromatin and Nuclear Organization,Nuclear Transport,Unknown
Ercc5,DNA damage and repair,Genomic instability,Nucleotide Excision Repair,ERCC5 Endonuclease (XPG),Upregulated
Mdm4,DNA damage and repair,Genomic instability,DNA Damage Signaling,p53 Regulation,Upregulated
Pik3c2b,DNA damage and repair,Genomic instability,DNA Damage Signaling,PI3K Signaling,Unknown
Exo1,DNA damage and repair,Genomic instability,Double-Strand Break Repair,Homologous Recombination (HR),Upregulated
Psmd5,DNA damage and repair,Genomic instability,Auxiliary Processes,Protein Degradation,Unknown
Rif1,DNA damage and repair,Genomic instability,Double-Strand Break Repair,Non-Homologous End-Joining (NHEJ),Neutral
Pdk1,DNA damage and repair,Genomic instability,Auxiliary Processes,Metabolic Regulation,Unknown
Atf2,DNA damage and repair,Genomic instability,DNA Damage Signaling,Transcription Regulation,Upregulated
Rad54b,DNA damage and repair,Genomic instability,Double-Strand Break Repair,Homologous Recombination (HR),Upregulated
Cdkn2a,DNA damage and repair,Genomic instability,Cell Cycle and Mitotic Regulation,Cell Cycle Checkpoint,Upregulated
Mutyh,DNA damage and repair,Genomic instability,Base Excision Repair,Base Excision Repair (BER),Upregulated
Cad,DNA damage and repair,Genomic instability,Auxiliary Processes,Nucleotide Metabolism,Upregulated
Tacc3,DNA damage and repair,Genomic instability,Cell Cycle and Mitotic Regulation,Mitotic Spindle Assembly,Upregulated
Mapk10,DNA damage and repair,Genomic instability,DNA Damage Signaling,Stress Activated Kinase Signaling,Unknown
Cdc7,DNA damage and repair,Genomic instability,Replication Stress Response,Replication Initiation,Upregulated
Pole,DNA damage and repair,Genomic instability,Replication Stress Response,DNA Synthesis during Repair,Upregulated
Pole4,DNA damage and repair,Genomic instability,Replication Stress Response,DNA Synthesis during Repair,Upregulated
Ogg1,DNA damage and repair,Genomic instability,Base Excision Repair,Base Excision Repair (BER),Upregulated
Pik3c2g,DNA damage and repair,Genomic instability,DNA Damage Signaling,PI3K Signaling,Unknown
Xrcc1,DNA damage and repair,Genomic instability,Base Excision Repair,Base Excision Repair (BER),Upregulated
Bax,DNA damage and repair,Genomic instability,Auxiliary Processes,Apoptosis Regulation,Upregulated
Fanci,DNA damage and repair,Genomic instability,Interstrand Crosslink Repair,Fanconi Anemia Complex,Upregulated
Polg,DNA damage and repair,Genomic instability,Mitochondrial DNA Repair,DNA Polymerase Gamma,Unknown
Apbb1,DNA damage and repair,Genomic instability,DNA Damage Signaling,DNA Damage Response Regulation,Unknown
Pik3c2a,DNA damage and repair,Genomic instability,DNA Damage Signaling,PI3K Signaling,Unknown
