Gene,ENSEMBL,Gene Synonyms,Subprocess,Class,Group,Hallmark
HSPA1A,ENSG00000204389,"HEL-S-103, HSP70-1, HSP70.1, HSP70-1A, HSP70-2, HSP70.2, HSP70I, HSP72, HSPA1, HSX70",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
HSPA1B,ENSG00000204388,"HSP70-1, HSP70.1, HSP70-1B, HSP70-2, HSP70.2, HSP72, HSPA1, HSX70",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
HSPA1L,ENSG00000204390,"HSP70-1L, HSP70-HOM, HSP70T, hum70t",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
HSPA2,ENSG00000126803,"HSP70-2, HSP70-3",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
HSPA6,ENSG00000173110,HSP70B',Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
HSPA8,ENSG00000109971,"HEL-33, HEL-S-72p, HSC54, HSC70, HSC71, HSP71, HSP73, HSPA10, LAP-1, LAP1, NIP71",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
HSPA12A,ENSG00000165868,KIAA0417,Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
HSPA12B,ENSG00000132622,C20orf60,Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
HSPA14,ENSG00000187522,"HSP60, HSP70-4, HSP70L1",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJA1,ENSG00000086061,"DJ-2, DjA1, DNAJ2, hDJ-2, HDJ2, HSDJ, HSJ-2, HSJ2, HSPF4, NEDD7",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJA2,ENSG00000069345,"CPR3, DJ3, DJA2, DNAJ, DNJ3, HIRIP4, PRO3015, RDJ2",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJA4,ENSG00000140403,"MST104, MSTP104, PRO1472",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJB1,ENSG00000132002,"DNAJ1, Hdj1, HDJ1, Hsp40, HSPF1, RSPH16B, Sis1",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJB2,ENSG00000135924,"CMT2T, DSMA5, HSJ-1, HSJ1, HSPF3",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJB4,ENSG00000162616,"DjB4, DNAJW, HLJ1",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJB5,ENSG00000137094,"Hsc40, HSC40",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJB6,ENSG00000105993,"DJ4, DnaJ, HHDJ1, HSJ-2, HSJ2, LGMD1D, LGMD1E, LGMDD1, MRJ, MSJ-1, MSJ1",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJB7,ENSG00000172404,"DJ5, HSC3",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJB8,ENSG00000179407,"CT156, DJ6",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJC2,ENSG00000105821,"MPHOSPH11, MPP11, ZRF1, ZUO1",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJC6,ENSG00000116675,"DJC6, KIAA0473, PARK19",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJC7,ENSG00000168259,"DJ11, DJC7, TPR2, TTC2",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJC8,ENSG00000126698,"HSPC331, SPF31",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJC9,ENSG00000213551,"HDJC9, JDD1, SB73",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJC12,ENSG00000108176,"HPANBH4, JDP1",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJC13,ENSG00000138246,"KIAA0678, PARK21, RME8",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJC16,ENSG00000116138,KIAA0962,Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJC17,ENSG00000104129,(none known),Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJC21,ENSG00000168724,"BMFS3, DNAJA5, GS3, JJJ1",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJC24,ENSG00000170946,"DPH4, JJJ3, ZCSL3",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJC25,ENSG00000059769,bA16L21.2.1,Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJC25-GNG10,ENSG00000244115,(none known),Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
GAK,ENSG00000178950,"DNAJ26, DNAJC26",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJC27,ENSG00000115137,"RabJS, RABJS, RBJ",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
SACS,ENSG00000151835,"ARSACS, DNAJC29, KIAA0730, PPP1R138, SPAX6",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
HSPH1,ENSG00000120694,"HSP105, HSP105A, HSP105B, HSP110, KIAA0201, NY-CO-25",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
HSPA4,ENSG00000170606,"APG-2, APG2, HEL-S-5a, HS24/P52, hsp70, hsp70RY, HSPH2, RY",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
HSPA4L,ENSG00000164070,"APG-1, APG1, HSPH3, Osp94, OSP94",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
BAG1,ENSG00000107262,"BAG-1, HAP, RAP46",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
BAG2,ENSG00000112208,"BAG-2, dJ417I1.2",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
BAG3,ENSG00000151929,"BAG-3, BIS, CAIR-1, MFM6",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
BAG4,ENSG00000156735,"BAG-4, SODD",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
BAG5,ENSG00000166170,"BAG-5, KIAA0873",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
HSPBP1,ENSG00000133265,"FES1, HSPBP",Cytonuclear proteostasis,Chaperone,HSP70 system,Proteostasis
TCP1,ENSG00000120438,"CCT1, CCTa, CCTA, CCT-alpha, D6S230E, TCP-1-alpha",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
CCT2,ENSG00000166226,"99D8.1, CCTB, CCT-beta, HEL-S-100n, PRO1633, TCP-1-beta",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
CCT3,ENSG00000163468,"CCTG, CCT-gamma, PIG48, TCP-1-gamma, TRIC5",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
CCT4,ENSG00000115484,"Cctd, CCTD, CCT-DELTA, SRB",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
CCT5,ENSG00000150753,"CCTE, CCT-epsilon, HEL-S-69, KIAA0098, PNAS-102, TCP-1-epsilon",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
CCT6A,ENSG00000146731,"CCT6, Cctz, CCTZ, CCT-zeta, CCT-zeta-1, HTR3, MoDP-2, TCP-1-zeta, TCP20, TCPZ, TTCP20",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
CCT6B,ENSG00000132141,"CCTZ-2, Cctz2, CCT-zeta-2, TCP-1-zeta-2, TSA303",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
CCT7,ENSG00000135624,"CCTETA, CCTH, NIP7-1, TCP1ETA",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
CCT8,ENSG00000156261,"C21orf112, Cctq, CCTQ, D21S246, KIAA0002, PRED71",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
CCT8L2,ENSG00000198445,CESK1,Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
MKKS,ENSG00000125863,"BBS6, HMCS, KMS, MKS",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
BBS10,ENSG00000179941,C12orf58,Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
BBS12,ENSG00000181004,C4orf24,Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
PDC,ENSG00000116703,"MEKA, PHD, PhLOP, PhLP",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
PDCL,ENSG00000136940,"PHLOP1, PhLP, PhLP1",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
PDCL2,ENSG00000163440,GCPHLP,Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
PDCL3,ENSG00000115539,"HTPHLP, PhLP2A, PHLP2A, PHLP3, VIAF, VIAF1",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
TXNDC9,ENSG00000115514,"APACD, PHLP3",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
TBCA,ENSG00000171530,(none known),Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
TBCB,ENSG00000105254,"CG22, CKAP1, CKAPI",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
TBCC,ENSG00000124659,CFC,Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
TBCD,ENSG00000141556,"KIAA0988, PEBAT, SSD-1, SSD1, tfcD, TFCD",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
TBCE,ENSG00000284770,"HRD, KCS, KCS1, pac2, PEAMO",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
PFDN1,ENSG00000113068,"PDF, PFD1",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
PFDN2,ENSG00000143256,PFD2,Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
PFDN4,ENSG00000101132,"C1, PFD4",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
PFDN5,ENSG00000123349,"MM-1, MM1, PFD5",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
PFDN6,ENSG00000204220,"H2-KE2, HKE2, KE-2, PFD6",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
VBP1,ENSG00000155959,"HIBBJ46, PFD3, PFDN3, VBP-1",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
UXT,ENSG00000126756,"ART-27, STAP1",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
URI1,ENSG00000105176,"C19orf2, NNX3, PPP1R19, RMP, URI",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
PDRG1,ENSG00000088356,"C20orf126, PDRG",Cytonuclear proteostasis,Chaperone,CCT/TRiC system,Proteostasis
HSPB1,ENSG00000106211,"CMT2F, HEL-S-102, HMN2B, HS.76067, Hsp25, HSP27, HSP28, SRP27",Cytonuclear proteostasis,Chaperone,small HSP system,Proteostasis
HSPB2,ENSG00000170276,"Hs.78846, HSP27, LOH11CR1K, MKBP",Cytonuclear proteostasis,Chaperone,small HSP system,Proteostasis
HSPB3,ENSG00000169271,"DHMN2C, HMN2C, HSP27, HSPL27",Cytonuclear proteostasis,Chaperone,small HSP system,Proteostasis
HSPB6,ENSG00000004776,"HEL55, Hsp20, PPP1R91",Cytonuclear proteostasis,Chaperone,small HSP system,Proteostasis
HSPB7,ENSG00000173641,"cvHSP, CVHSP",Cytonuclear proteostasis,Chaperone,small HSP system,Proteostasis
HSPB8,ENSG00000152137,"CMT2L, CRYAC, DHMN2, E2IG1, H11, HMN2, HMN2A, HSP22",Cytonuclear proteostasis,Chaperone,small HSP system,Proteostasis
HSPB9,ENSG00000260325,CT51,Cytonuclear proteostasis,Chaperone,small HSP system,Proteostasis
CRYAA,ENSG00000160202,"CRYA1, CTRCT9, HSPB4",Cytonuclear proteostasis,Chaperone,small HSP system,Proteostasis
CRYAB,ENSG00000109846,"CMD1II, CRYA2, CTPP2, CTRCT16, HEL-S-101, HSPB5, MFM2",Cytonuclear proteostasis,Chaperone,small HSP system,Proteostasis
ODF1,ENSG00000155087,"CT133, HSPB10, ODF, ODF2, ODF27, ODFP, ODFPG, ODFPGA, ODFPGB, RT7, SODF",Cytonuclear proteostasis,Chaperone,small HSP system,Proteostasis
HSPB11,ENSG00000081870,"C1orf41, FAP232, HSPCO34, IFT25, PP25",Cytonuclear proteostasis,Chaperone,small HSP system,Proteostasis
HSPBAP1,ENSG00000169087,PASS1,Cytonuclear proteostasis,Chaperone,small HSP system,Proteostasis
HSP90AA1,ENSG00000080824,"EL52, HEL-S-65p, Hsp103, HSP86, Hsp89, HSP89A, Hsp90, HSP90A, HSP90N, HSPC1, HSPCA, HSPCAL1, HSPCAL4, HSPN, LAP-2, LAP2",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
